path,c1,c2,c3,c4,c5,c6,c7,c8,c9,Outcome,,,
AKT,5.5,1.5,1.5,1.5,2.5,1.5,3.5,1.5,1.5,no,,,
AKT,5.5,4.5,4.5,5.5,7.5,10.5,3.5,2.5,1.5,yes,,,
AKT,3.5,1.5,1.5,1.5,2.5,2.5,3.5,1.5,1.5,no,,,
AKT,6.5,8.5,8.5,1.5,3.5,4.5,3.5,7.5,1.5,yes,,,
AKT,4.5,1.5,1.5,3.5,2.5,1.5,3.5,1.5,1.5,no,,,
AKT,8.5,10.5,10.5,8.5,7.5,10.5,9.5,7.5,1.5,yes,,,
AKT,1.5,1.5,1.5,1.5,2.5,10.5,3.5,1.5,1.5,yes,,,
AKT,2.5,1.5,2.5,1.5,2.5,1.5,3.5,1.5,1.5,no,,,
AKT,2.5,1.5,1.5,1.5,2.5,1.5,1.5,1.5,5.5,no,,,
AKT,4.5,2.5,1.5,1.5,2.5,1.5,2.5,1.5,1.5,no,,,
AKT,1.5,1.5,1.5,1.5,1.5,1.5,3.5,1.5,1.5,no,,,
AKT,2.5,1.5,1.5,1.5,2.5,1.5,2.5,1.5,1.5,no,,,
AKT,5.5,3.5,3.5,3.5,2.5,3.5,4.5,4.5,1.5,no,,,
AKT,1.5,1.5,1.5,1.5,2.5,3.5,3.5,1.5,1.5,no,,,
AKT,8.5,7.5,5.5,10.5,7.5,9.5,5.5,5.5,4.5,yes,,,
AKT,7.5,4.5,6.5,4.5,6.5,1.5,4.5,3.5,1.5,yes,,,
AKT,4.5,1.5,1.5,1.5,2.5,1.5,2.5,1.5,1.5,no,,,
AKT,4.5,1.5,1.5,1.5,2.5,1.5,3.5,1.5,1.5,no,,,
AKT,10.5,7.5,7.5,6.5,4.5,10.5,4.5,1.5,2.5,yes,,,
AKT,6.5,1.5,1.5,1.5,2.5,1.5,3.5,1.5,1.5,no,,,
AKT,7.5,3.5,2.5,10.5,5.5,10.5,5.5,4.5,4.5,yes,,,
AKT,10.5,5.5,5.5,3.5,6.5,7.5,7.5,10.5,1.5,yes,,,
AKT,3.5,1.5,1.5,1.5,2.5,1.5,2.5,1.5,1.5,no,,,
AKT,8.5,4.5,5.5,1.5,2.5,0.5,7.5,3.5,1.5,yes,,,
AKT,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,no,,,
AKT,5.5,2.5,3.5,4.5,2.5,7.5,3.5,6.5,1.5,yes,,,
AKT,3.5,2.5,1.5,1.5,1.5,1.5,2.5,1.5,1.5,no,,,
AKT,5.5,1.5,1.5,1.5,2.5,1.5,2.5,1.5,1.5,no,,,0.5
AKT,2.5,1.5,1.5,1.5,2.5,1.5,2.5,1.5,1.5,no,,,
AKT,1.5,1.5,3.5,1.5,2.5,1.5,1.5,1.5,1.5,no,,,
AKT,3.5,1.5,1.5,1.5,1.5,1.5,2.5,1.5,1.5,no,,,
AKT,2.5,1.5,1.5,1.5,2.5,1.5,3.5,1.5,1.5,no,,,
AKT,10.5,7.5,7.5,3.5,8.5,5.5,7.5,4.5,3.5,yes,,,
AKT,2.5,1.5,1.5,2.5,2.5,1.5,3.5,1.5,1.5,no,,,
AKT,3.5,1.5,2.5,1.5,2.5,1.5,2.5,1.5,1.5,no,,,
AKT,2.5,1.5,1.5,1.5,2.5,1.5,2.5,1.5,1.5,no,,,
AKT,10.5,10.5,10.5,8.5,6.5,1.5,8.5,9.5,1.5,yes,,,
AKT,6.5,2.5,1.5,1.5,1.5,1.5,7.5,1.5,1.5,no,,,
AKT,5.5,4.5,4.5,9.5,2.5,10.5,5.5,6.5,1.5,yes,,,
AKT,2.5,5.5,3.5,3.5,6.5,7.5,7.5,5.5,1.5,yes,,,
AKT,6.5,6.5,6.5,9.5,6.5,0.5,7.5,8.5,1.5,yes,,,
AKT,10.5,4.5,3.5,1.5,3.5,3.5,6.5,5.5,2.5,yes,,,
AKT,6.5,10.5,10.5,2.5,8.5,10.5,7.5,3.5,3.5,yes,,,
AKT,5.5,6.5,5.5,6.5,10.5,1.5,3.5,1.5,1.5,yes,,,
AKT,10.5,10.5,10.5,4.5,8.5,1.5,8.5,10.5,1.5,yes,,,
AKT,1.5,1.5,1.5,1.5,2.5,1.5,2.5,1.5,2.5,no,,,
AKT,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,yes,,,
AKT,1.5,1.5,1.5,1.5,2.5,1.5,2.5,1.5,1.5,no,,,
AKT,4.5,1.5,1.5,3.5,2.5,1.5,3.5,1.5,1.5,no,,,
AKT,7.5,8.5,7.5,2.5,4.5,8.5,3.5,8.5,2.5,yes,,,
AKT,9.5,5.5,8.5,1.5,2.5,3.5,2.5,1.5,5.5,yes,,,
AKT,5.5,3.5,3.5,4.5,2.5,4.5,3.5,4.5,1.5,yes,,,
AKT,10.5,3.5,6.5,2.5,3.5,5.5,4.5,10.5,2.5,yes,,,
AKT,5.5,5.5,5.5,8.5,10.5,8.5,7.5,3.5,7.5,yes,,,
AKT,10.5,5.5,5.5,6.5,8.5,8.5,7.5,1.5,1.5,yes,,,
AKT,10.5,6.5,6.5,3.5,4.5,5.5,3.5,6.5,1.5,yes,,,
AKT,8.5,10.5,10.5,1.5,3.5,6.5,3.5,9.5,1.5,yes,,,
AKT,8.5,2.5,4.5,1.5,5.5,1.5,5.5,4.5,4.5,yes,,,
AKT,5.5,2.5,3.5,1.5,6.5,10.5,5.5,1.5,1.5,yes,,,
